Id,Provinsi,Ibukota,Julukan,LuasWilayah,JumlahPenduduk,RasioJenisKelamin,KepadatanPenduduk,non_produktif,produktif,kode_prov
ACEH,ACEH,Banda Aceh,Serambi Mekkah,58163,5002000,99.7,86,4,6,P11
BABEL,KEP. BANGKA BELITUNG,Pangkal Pinang,Serumpun Sebalai Negeri Berpantun,16343,1372800,108.1,84,3,7,P19
BALI,BALI,Denpasar,Pulau Dewata,5784,4152800,101.4,718,3,7,P51
BANTEN,BANTEN,Serang,Kota Santri,9665,11955200,104.1,1237,3,7,P36
BENGKULU,BENGKULU,Bengkulu,Bumi Raflesia,19946,1874900,104.1,94,3,7,P17
GORONTALO,GORONTALO,Gorontalo,Kota Serambi Madinah,11220,1133200,100.4,101,3,7,P75
JABAR,JAWA BARAT,Bandung,Kota Kembang,35386,46709600,102.8,1320,3,7,P32
JAKARTA,DKI JAKARTA,Jakarta,Kota Metropolitan,664,10177900,101,15328,3,7,P31
JAMBI,JAMBI,Jambi,Bumi melayu,50035,3402400,104.2,68,3,7,P15
JATENG,JAWA TENGAH,Semarang,Kota Jamu,32790,33774100,98.4,1030,3,7,P33
JATIM,JAWA TIMUR,Surabaya,Kota Pahlawan,47783,38847600,97.4,813,3,7,P35
KALBAR,KALIMANTAN BARAT,Pontianak,Kota Katulistiwa,145139,4789600,103.8,33,3,7,P61
KALSEL,KALIMANTAN SELATAN,Banjarmasin,Kota Seribu Sungai,38736,3989800,102.8,103,3,7,P63
KALTENG,KALIMANTAN TENGAH,Palangkaraya,Kota Cantik,155938,2495000,109.3,16,3,7,P62
KALTIM,KALIMANTAN TIMUR,Samarinda,Kota Tepian,150689,4068600,110.3,27,3,7,P64
KALUT,KALIMANTAN UTARA,Tarakan,Kota Paguntaka,,,113.2,9,0,0,P65
KEPRI,KEP. RIAU,Tanjung Pinang,Negeri Pantun,8187,1973000,104.4,241,3,7,P21
LAMPUNG,LAMPUNG,Bandar Lampung,Kota Tapis,34689,8117300,105.2,234,3,7,P18
MALUKU,MALUKU,Ambon,Provinsi Seribu Pulau,46847,1686500,101.8,36,4,6,P81
MALUT,MALUKU UTARA,Sofifi,Kota Ojek,32286,1162300,104.2,36,4,6,P82
NTB,NUSA TENGGARA BARAT,Mataram,Bumi AlQuran,18598,4835600,94.2,260,3,7,P52
NTT,NUSA TENGGARA TIMUR,Kupang,Kota Multibudaya,48763,5120100,98.2,105,4,6,P53
PAPBAR,PAPUA BARAT,Manokwari,Paradise of Papua,96833,871500,111.4,9,3,7,P91
PAPUA,PAPUA,Jayapura,Irian Jaya,314940,3149400,111.6,10,3,7,P94
RIAU,RIAU,Pekan Baru,Kota Bertuah,86910,6344400,105.5,73,3,7,P14
SULBARAT,SULAWESI BARAT,Mamuju,ProvinsI Seribu Sungai,16871,1282200,100.6,76,4,6,P76
SULSEL,SULAWESI SELATAN,Makassar,Kota Daeng,46815,8520300,95.4,182,3,7,P73
SULTENG,SULAWESI TENGAH,Palu,Kota Kaledo,61206,2876700,104.4,47,3,7,P72
SULTENGG,SULAWESI TENGGARA,Kendari,Kota Tolaki,37871,2499500,101,66,4,6,P74
SULUT,SULAWESI UTARA,Manado,Kota Tinutuan,13863,2412100,104.2,174,3,7,P71
SUMBAR,SUMATERA BARAT,Padang,Kota Tercinta,41906,5196300,98.9,124,4,6,P13
SUMSEL,SUMATERA SELATAN,Palembang,Bumi Sriwijaya,91503,8052300,103.3,88,3,7,P16
SUMUT,SUMATERA UTARA,Medan,Kota Melayu Deli,72973,13937800,99.6,191,4,6,P12
YOGYA,DI YOGYAKARTA,Yogyakarta,Kota Gudeg,3134,3679200,97.8,1174,3,7,P34
